Título,Data de Publicação,Link
Where Harris’ campaign went wrong,2024-11-06,https://www.cnn.com/2024/11/06/politics/harris-campaign-went-wrong/index.html
Where Harris’ campaign went wrong,2024-11-06,https://www.cnn.com/2024/11/06/politics/harris-campaign-went-wrong/index.html
Trump’s victory could mean US withdraws support for Ukraine in war with Russia,2024-11-06,https://www.cnn.com/2024/11/06/politics/trump-election-ukraine-war-russia-intl/index.html
Trump’s victory could mean US withdraws support for Ukraine in war with Russia,2024-11-06,https://www.cnn.com/2024/11/06/politics/trump-election-ukraine-war-russia-intl/index.html
"Trump will win second term, CNN projects, in historic comeback after losing four years ago",2024-11-06,https://www.cnn.com/2024/11/06/politics/trump-wins-election/index.html
"Trump will win second term, CNN projects, in historic comeback after losing four years ago",2024-11-06,https://www.cnn.com/2024/11/06/politics/trump-wins-election/index.html
What happens to Trump’s criminal and civil cases now that he’s been reelected,2024-11-06,https://www.cnn.com/2024/11/06/politics/what-happens-to-trump-criminal-cases/index.html
What happens to Trump’s criminal and civil cases now that he’s been reelected,2024-11-06,https://www.cnn.com/2024/11/06/politics/what-happens-to-trump-criminal-cases/index.html
Trump’s second term will look nothing like his first,2024-11-06,https://www.cnn.com/2024/11/06/politics/second-term-donald-trump/index.html
Trump’s second term will look nothing like his first,2024-11-06,https://www.cnn.com/2024/11/06/politics/second-term-donald-trump/index.html
CNN projects Trump will win presidential election,2024-11-06,https://www.cnn.com/2024/11/06/politics/video/trump-wins-presidential-election-digvid
CNN projects Trump will win presidential election,2024-11-06,https://www.cnn.com/2024/11/06/politics/video/trump-wins-presidential-election-digvid
Trump speaks to his supporters on election night,2024-11-06,https://www.cnn.com/2024/11/06/politics/video/speech-trump-election-digvid
Trump speaks to his supporters on election night,2024-11-06,https://www.cnn.com/2024/11/06/politics/video/speech-trump-election-digvid
"Republican Tim Sheehy will defeat Sen. Jon Tester in competitive Montana race, CNN projects",2024-11-06,https://www.cnn.com/2024/11/06/politics/tim-sheehy-jon-tester-montana-senate/index.html
"Moreno will defeat Brown in Ohio, CNN projects, in key pickup for GOP",2024-11-06,https://www.cnn.com/2024/11/05/politics/bernie-moreno-ohio-senate-race/index.html
"Texas Sen. Ted Cruz will win reelection and defeat Democrat Colin Allred, CNN projects",2024-11-06,https://www.cnn.com/2024/11/05/politics/ted-cruz-texas-senate-race/index.html
"4 states vote to protect abortion rights, while effort to expand access in Florida fails",2024-11-05,https://www.cnn.com/2024/11/05/politics/abortion-state-ballot-measure-dg/index.html
